"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"8","3","4","pez1bmxb","13","hl128-64_bs64_lr0.001_optadam"
"8","4","4","pez1bmxb","2","hl128-64_bs64_lr0.001_optadam"
"8","5","4","pez1bmxb","13","hl128-64_bs64_lr0.001_optadam"
"8","6","4","pez1bmxb","15","hl128-64_bs64_lr0.001_optadam"
"8","7","4","pez1bmxb","7","hl128-64_bs64_lr0.001_optadam"
"8","8","4","pez1bmxb","930","hl128-64_bs64_lr0.001_optadam"
"8","9","4","pez1bmxb","2","hl128-64_bs64_lr0.001_optadam"
"9","0","4","pez1bmxb","0","hl128-64_bs64_lr0.001_optadam"
"9","1","4","pez1bmxb","0","hl128-64_bs64_lr0.001_optadam"
"9","2","4","pez1bmxb","0","hl128-64_bs64_lr0.001_optadam"
"9","3","4","pez1bmxb","0","hl128-64_bs64_lr0.001_optadam"
"9","4","4","pez1bmxb","0","hl128-64_bs64_lr0.001_optadam"
"9","5","4","pez1bmxb","7","hl128-64_bs64_lr0.001_optadam"
"9","6","4","pez1bmxb","0","hl128-64_bs64_lr0.001_optadam"
"9","7","4","pez1bmxb","48","hl128-64_bs64_lr0.001_optadam"
"9","8","4","pez1bmxb","1","hl128-64_bs64_lr0.001_optadam"
"9","9","4","pez1bmxb","944","hl128-64_bs64_lr0.001_optadam"
"0","0","3","amqi1v68","797","hl128-64_bs64_lr0.001_optrmsprop"
"0","1","3","amqi1v68","18","hl128-64_bs64_lr0.001_optrmsprop"
"0","2","3","amqi1v68","42","hl128-64_bs64_lr0.001_optrmsprop"
"0","3","3","amqi1v68","83","hl128-64_bs64_lr0.001_optrmsprop"
"0","4","3","amqi1v68","7","hl128-64_bs64_lr0.001_optrmsprop"
"0","5","3","amqi1v68","5","hl128-64_bs64_lr0.001_optrmsprop"
"0","6","3","amqi1v68","18","hl128-64_bs64_lr0.001_optrmsprop"
"0","7","3","amqi1v68","0","hl128-64_bs64_lr0.001_optrmsprop"
"0","8","3","amqi1v68","29","hl128-64_bs64_lr0.001_optrmsprop"
"0","9","3","amqi1v68","1","hl128-64_bs64_lr0.001_optrmsprop"
"1","0","3","amqi1v68","0","hl128-64_bs64_lr0.001_optrmsprop"
"1","1","3","amqi1v68","959","hl128-64_bs64_lr0.001_optrmsprop"
"1","2","3","amqi1v68","11","hl128-64_bs64_lr0.001_optrmsprop"
"1","3","3","amqi1v68","24","hl128-64_bs64_lr0.001_optrmsprop"
"1","4","3","amqi1v68","4","hl128-64_bs64_lr0.001_optrmsprop"
"1","5","3","amqi1v68","0","hl128-64_bs64_lr0.001_optrmsprop"
"1","6","3","amqi1v68","0","hl128-64_bs64_lr0.001_optrmsprop"
"1","7","3","amqi1v68","0","hl128-64_bs64_lr0.001_optrmsprop"
"1","8","3","amqi1v68","2","hl128-64_bs64_lr0.001_optrmsprop"
"1","9","3","amqi1v68","0","hl128-64_bs64_lr0.001_optrmsprop"
"2","0","3","amqi1v68","13","hl128-64_bs64_lr0.001_optrmsprop"
"2","1","3","amqi1v68","5","hl128-64_bs64_lr0.001_optrmsprop"
"2","2","3","amqi1v68","830","hl128-64_bs64_lr0.001_optrmsprop"
"2","3","3","amqi1v68","12","hl128-64_bs64_lr0.001_optrmsprop"
"2","4","3","amqi1v68","118","hl128-64_bs64_lr0.001_optrmsprop"
"2","5","3","amqi1v68","2","hl128-64_bs64_lr0.001_optrmsprop"
"2","6","3","amqi1v68","5","hl128-64_bs64_lr0.001_optrmsprop"
"2","7","3","amqi1v68","0","hl128-64_bs64_lr0.001_optrmsprop"
"2","8","3","amqi1v68","15","hl128-64_bs64_lr0.001_optrmsprop"
"2","9","3","amqi1v68","0","hl128-64_bs64_lr0.001_optrmsprop"
"3","0","3","amqi1v68","23","hl128-64_bs64_lr0.001_optrmsprop"
"3","1","3","amqi1v68","31","hl128-64_bs64_lr0.001_optrmsprop"
"3","2","3","amqi1v68","30","hl128-64_bs64_lr0.001_optrmsprop"
"3","3","3","amqi1v68","859","hl128-64_bs64_lr0.001_optrmsprop"
"3","4","3","amqi1v68","43","hl128-64_bs64_lr0.001_optrmsprop"
"3","5","3","amqi1v68","1","hl128-64_bs64_lr0.001_optrmsprop"
"3","6","3","amqi1v68","5","hl128-64_bs64_lr0.001_optrmsprop"
"3","7","3","amqi1v68","0","hl128-64_bs64_lr0.001_optrmsprop"
"3","8","3","amqi1v68","8","hl128-64_bs64_lr0.001_optrmsprop"
"3","9","3","amqi1v68","0","hl128-64_bs64_lr0.001_optrmsprop"
"4","0","3","amqi1v68","0","hl128-64_bs64_lr0.001_optrmsprop"
"4","1","3","amqi1v68","6","hl128-64_bs64_lr0.001_optrmsprop"
"4","2","3","amqi1v68","175","hl128-64_bs64_lr0.001_optrmsprop"
"4","3","3","amqi1v68","33","hl128-64_bs64_lr0.001_optrmsprop"
"4","4","3","amqi1v68","753","hl128-64_bs64_lr0.001_optrmsprop"
"4","5","3","amqi1v68","1","hl128-64_bs64_lr0.001_optrmsprop"
"4","6","3","amqi1v68","21","hl128-64_bs64_lr0.001_optrmsprop"
"4","7","3","amqi1v68","0","hl128-64_bs64_lr0.001_optrmsprop"
"4","8","3","amqi1v68","11","hl128-64_bs64_lr0.001_optrmsprop"
"4","9","3","amqi1v68","0","hl128-64_bs64_lr0.001_optrmsprop"
"5","0","3","amqi1v68","0","hl128-64_bs64_lr0.001_optrmsprop"
"5","1","3","amqi1v68","1","hl128-64_bs64_lr0.001_optrmsprop"
"5","2","3","amqi1v68","0","hl128-64_bs64_lr0.001_optrmsprop"
"5","3","3","amqi1v68","0","hl128-64_bs64_lr0.001_optrmsprop"
"5","4","3","amqi1v68","0","hl128-64_bs64_lr0.001_optrmsprop"
"5","5","3","amqi1v68","919","hl128-64_bs64_lr0.001_optrmsprop"
"5","6","3","amqi1v68","0","hl128-64_bs64_lr0.001_optrmsprop"
"5","7","3","amqi1v68","42","hl128-64_bs64_lr0.001_optrmsprop"
"5","8","3","amqi1v68","1","hl128-64_bs64_lr0.001_optrmsprop"
"5","9","3","amqi1v68","37","hl128-64_bs64_lr0.001_optrmsprop"
"6","0","3","amqi1v68","200","hl128-64_bs64_lr0.001_optrmsprop"
